品种,板块,子节点,图名称,同花顺概念名,知几ID,知几名称,置信度
SI,,2.1,工业硅主力合约收盘价时序图,工业硅主力合约收盘价,a10154400,GFEX: 工业硅: 主力合约: 收盘价: 日度,A
SI,,2.1,工业硅社会库存时序图,工业硅社会库存,a12811428,SMM: 下游原料工业硅库存: 周度,A
SI,,2.1,工业硅仓单注册量时序图,工业硅仓单注册量,a12862940,广期所: 工业硅库存: 分仓库: 物产中大资本(云铝物流): 昨日仓单量: 日度,A
SI,,2.1,工业硅主力合约持仓量时序图,工业硅持仓量,a10154412,GFEX: 工业硅: 主力合约: 持仓量: 日度,A
SI,,2.1,工业硅主力合约成交量时序图,工业硅成交量,a10154413,GFEX: 工业硅: 主力合约: 成交量: 日度,A
SI,,2.2,工业硅现货升贴水时序图,工业硅现货升贴水,a12853761,SMM铜产业链季度平衡:SMM1#电解铜现货升贴水均价: 预测值,C
SI,,2.2,工业硅现货价格时序图,工业硅现货价格,a10102024,SMM: 硅产业链价格: SMM A00电解铝现货价格: 月度,A
SI,,2.2,工业硅基差时序图,工业硅基差,j00126565,SMM: 锰硅基差: 宁夏: 日度,A
SI,,2.2,工业硅进口盈亏时序图,工业硅进口盈亏,a12754661,美国海关: 工业硅进口量: 月度,A
SI,,2.2,沪伦比时序图,沪伦比,a10015872,SMM: 电解铝: 沪伦铝比值: 日度,C
SI,,2.3,LME工业硅收盘价时序图,LME工业硅收盘价,a10154615,GFEX: 工业硅: 一月合约: 收盘价: 日度,A
SI,,2.3,LME工业硅库存时序图,LME工业硅库存,a12811428,SMM: 下游原料工业硅库存: 周度,A
SI,,2.3,LME工业硅注销仓单占比时序图,LME工业硅注销仓单占比,a12768740,GFEX: 工业硅: 仓单日报: 增减: 日度,A
SI,,2.3,LME工业硅现货结算价时序图,LME工业硅现货结算价,a10154492,GFEX: 工业硅: 连四合约: 结算价: 日度,A
SI,,2.3,LME工业硅现货升贴水时序图,LME工业硅现货升贴水,a12853761,SMM铜产业链季度平衡:SMM1#电解铜现货升贴水均价: 预测值,C
SI,,2.4,工业硅期货月差时序图,工业硅期货月差,a12841761,SMM: 工业硅期现价差: 当月合约: 开盘价: 日度,A
SI,,2.4,LME工业硅月差时序图,LME工业硅月差,a12841761,SMM: 工业硅期现价差: 当月合约: 开盘价: 日度,A
SI,,2.4,工业硅期货期限结构时序图,工业硅期货期限结构,ID01305502,工业硅：553#：汇总价格：新疆（日）,A
