品种,板块,子节点,图名称,同花顺概念名,知几ID,知几名称,置信度
SN,,2.1,沪锡主力收盘价时序图,沪锡主力合约收盘价,a10024116,SHFE: 锡: 主力合约: 收盘价: 日度,A
SN,,2.1,沪锡社会库存时序图,沪锡社会库存,a10020743,SMM: 锡锭社会库存: 上海: 周度,A
SN,,2.1,沪锡仓单注册量时序图,沪锡仓单注册量,a10024410,SHFE: 锡: 仓单日报分地区_上海: 期货: 日度,A
SN,,2.1,沪锡主力合约持仓量时序图,沪锡持仓量,a10177349,SHFE: 锡: 主力合约: 持仓量: 日度,A
SN,,2.1,沪锡主力合约成交量时序图,沪锡成交量,a10177350,SHFE: 锡: 主力合约: 成交量: 日度,A
SN,,2.2,锡锭现货升贴水时序图,锡锭现货升贴水,a10147861,SMM: 进口盈亏: 锡: 现货: 现货升贴水: 日度,A
SN,,2.2,锡锭现货价格时序图,锡锭现货价格,a10134114,SMM: 进口盈亏: 锡: 12合约: 现货/期货价格: 日度,A
SN,,2.2,锡锭基差时序图,锡锭基差,a10103039,SMM: 焦炭基差: 日度,B
SN,,2.2,锡锭进口盈亏时序图,锡锭进口盈亏,a10099486,SMM: 精炼锡进出口盈亏: 锡价: 日度,A
SN,,2.2,沪伦比时序图,沪伦比,a10099489,SMM: 精炼锡进出口盈亏: 沪伦比: 日度,A
SN,,2.3,LME锡期货收盘价时序图,LME锡期货收盘价,FU00080251,LME：锡：3个月合约：收盘价（日）,A
SN,,2.3,LME锡库存时序图,LME锡库存,a10006434,LME: 锡库存: 日度,A
SN,,2.3,LME锡注销仓单占比时序图,LME锡注销仓单占比,a10193739,LME: 锡: 注销仓单: 日度,A
SN,,2.3,LME锡现货结算价时序图,LME锡现货结算价,a10193736,LME: 锡: 现货结算价: 日度,A
SN,,2.3,LME锡现货现金价时序图,LME锡现货现金价,a10099097,LME: 锡_现货价: 日度,A
SN,,2.4,沪锡月差时序图,沪锡月差,a12841479,SMM: 沪锡期现价差: 当月合约: 开盘价: 日度,A
SN,,2.4,LME锡月差时序图,LME锡月差,a12841479,SMM: 沪锡期现价差: 当月合约: 开盘价: 日度,A
SN,,2.4,沪锡期限结构时序图,沪锡期限结构,a12841479,SMM: 沪锡期现价差: 当月合约: 开盘价: 日度,A
SN,,2.4,LME锡期限结构时序图,LME锡期限结构,a10099098,LME: 锡_现货结算: 日度,A
SN,,2.4,沪锡近远月价差时序图,沪锡近远月价差,a12841479,SMM: 沪锡期现价差: 当月合约: 开盘价: 日度,A
SN,,2.5,锡锭冶炼利润时序图,锡锭冶炼利润,n00110733,NBS: 黑色金属冶炼和压延加工业营业利润_累计值: 月度,B
SN,,2.5,锡精矿冶炼利润时序图,锡精矿冶炼利润,ID00259809,锡精矿：1#：40%Sn：汇总价格：云南（日）,A
SN,,2.5,再生锡冶炼利润时序图,再生锡冶炼利润,a10099502,SMM: 国内精炼锡再生产量: 月度,A
SN,,2.5,锡精矿加工费时序图,锡精矿加工费,a10000745,SMM: 锡精矿加工费_云南40%: 日度,A
SN,,2.5,沪锡主力合约收盘价时序图,沪锡主力合约收盘价,a10024116,SHFE: 锡: 主力合约: 收盘价: 日度,A
SN,,2.6,沪锡多头前20持仓量时序图,多头前20持仓量,a10165100,LME: 锡: 运营商多头持仓: 总计: 持仓量: 周度,A
SN,,2.6,沪锡空头前20持仓量时序图,空头前20持仓量,a10165109,LME: 锡: 运营商空头持仓: 总计: 持仓量: 周度,A
SN,,2.6,沪锡多空持仓比时序图,多空持仓比,a10165111,LME: 锡: 运营商空头持仓: 总计: 持仓量占比: 周度,A
SN,,2.6,沪锡前20净持仓时序图,前20净持仓,a10177523,SHFE: 锡: 五月合约: 持仓量: 日度,A
SN,,2.6,沪锡前20总持仓量时序图,前20总持仓量,a10165109,LME: 锡: 运营商空头持仓: 总计: 持仓量: 周度,A
SN,,3.1.1,缅甸锡矿产量时序图,缅甸锡矿产量,a10099495,中国海关: 锡矿进口量: 缅甸: 月度,A
SN,,3.1.1,海外锡精矿产量时序图,海外锡精矿产量,ID01590150,锡精矿：产量：中国（月）,A
SN,,3.1.1,海外精炼锡产量时序图,海外精炼锡产量,ID01838775,精炼锡：产量：印尼：天马（季）,A
SN,,3.1.1,海外锡矿开工率时序图,海外锡矿开工率,a10113278,SMM: 精炼锡_云南开工率: 周度,B
SN,,3.1.1,海外锡矿产能利用率时序图,海外锡矿产能利用率,a10102123,SMM: 国内矿山产能利用率-全国: 月度,C
SN,,3.1.2,缅甸锡精矿产量时序图,缅甸锡精矿产量,ID01590150,锡精矿：产量：中国（月）,A
SN,,3.1.2,印尼锡精矿产量时序图,印尼锡精矿产量,a12817918,SMM: 锡矿全球产量: 亚洲-印度尼西亚-Bangka&Belitung: 年度,B
SN,,3.1.2,俄罗斯锡精矿产量时序图,俄罗斯锡精矿产量,ID01590150,锡精矿：产量：中国（月）,A
SN,,3.1.2,澳大利亚锡精矿产量时序图,澳大利亚锡精矿产量,ID01655716,锡矿：产量：澳大利亚（季）,A
SN,,3.1.2,分国别锡精矿产量结构占比时序图,分国别锡精矿产量占比,a10003080,NBS: 国内产量: 锡矿砂及精矿: 累计同比: 月度,A
SN,,3.1.3,国内锡精矿产量时序图,国内锡精矿产量,a10003078,NBS: 国内产量: 锡矿砂及精矿: 月度,A
SN,,3.1.3,国内锡矿开工率时序图,国内锡矿开工率,a10113278,SMM: 精炼锡_云南开工率: 周度,B
SN,,3.1.3,国内锡矿产能利用率时序图,国内锡矿产能利用率,a10102123,SMM: 国内矿山产能利用率-全国: 月度,C
SN,,3.1.3,国内锡矿检修量时序图,国内锡矿检修量,a10003078,NBS: 国内产量: 锡矿砂及精矿: 月度,A
SN,,3.1.3,国内锡矿社会库存时序图,国内锡矿社会库存,a10020743,SMM: 锡锭社会库存: 上海: 周度,A
SN,,3.1.4,缅甸锡矿进口量时序图,缅甸锡矿进口量,a10099495,中国海关: 锡矿进口量: 缅甸: 月度,A
SN,,3.1.4,印尼锡矿进口量时序图,印尼锡矿进口量,a12764348,印尼海关: 锡锭进口量: 日本: 年度,A
SN,,3.1.4,俄罗斯锡矿进口量时序图,俄罗斯锡矿进口量,a10099497,中国海关: 锡矿进口量: 俄罗斯: 月度,A
SN,,3.1.4,锡矿总进口量时序图,锡矿总进口量,a10173525,韩国海关: 锡矿进口量: 总计: 月度,A
SN,,3.1.4,印尼锡矿出口量时序图,印尼锡矿出口量,a10173511,韩国海关: 锡矿出口量: 印度尼西亚: 月度,A
SN,,3.1.5,国内锡矿加工费TC时序图,国内锡矿加工费TC,a10000745,SMM: 锡精矿加工费_云南40%: 日度,A
SN,,3.1.5,海外锡矿加工费TC时序图,海外锡矿加工费TC,a10000745,SMM: 锡精矿加工费_云南40%: 日度,A
SN,,3.1.5,分国别锡矿加工费TC时序图,分国别锡矿加工费TC,a10000745,SMM: 锡精矿加工费_云南40%: 日度,A
SN,,3.1.5,锡矿加工费TC分地区时序图,锡矿加工费TC分地区,a10000745,SMM: 锡精矿加工费_云南40%: 日度,A
SN,,3.1.5,缅甸锡矿加工费TC时序图,缅甸锡矿加工费TC,a10000745,SMM: 锡精矿加工费_云南40%: 日度,B
SN,,3.2.1,国内精炼锡产量时序图,国内精炼锡产量,a10003083,SMM: 国内精炼锡产量: 月度,A
SN,,3.2.1,海外精炼锡产量时序图,海外精炼锡产量,ID01838775,精炼锡：产量：印尼：天马（季）,A
SN,,3.2.1,国内精炼锡开工率时序图,国内精炼锡开工率,a10113278,SMM: 精炼锡_云南开工率: 周度,A
SN,,3.2.1,国内精炼锡产能利用率时序图,国内精炼锡产能利用率,a10005270,SMM: 国内精炼锡产能: 月度,A
SN,,3.2.1,国内精炼锡社会库存时序图,国内精炼锡社会库存,a10020743,SMM: 锡锭社会库存: 上海: 周度,A
SN,,3.2.2,国内精炼锡检修量时序图,国内精炼锡检修量,a10003083,SMM: 国内精炼锡产量: 月度,A
SN,,3.2.2,海外精炼锡开工率时序图,海外精炼锡开工率,a10113278,SMM: 精炼锡_云南开工率: 周度,A
